form,tag,count
몇,MM,207
년,NNB,207
흔들리,VV,207
사,VV,207
달,VX,207
음,ETN,206
girl,SL,206
태어나,VV,206
준비,NNG,205
heart,SL,205
gonna,SL,205
안녕,NNG,204
달리,VV,204
니,MM,203
day,SL,203
옆,NNG,202
파도,NNG,202
시절,NNG,202
stop,SL,202
새롭,VA,202
갖,VV,202
의미,NNG,201
what,SL,201
내,MM,200
원,NNG,200
돌리,VV,200
태양,NNG,199
more,SL,199
give,SL,199
어렵,VA,199
감추,VV,198
날아가,VV,198
오래,MAG,197
겨울,NNG,197
ooh,SL,197
우우우,MAG,196
따위,NNB,196
고맙,VA,196
놀,VV,196
절대,MAG,194
닿,VV,194
그래도,MAJ,193
해,NNG,193
그날,NNG,193
닮,VV,193
아마,MAG,192
away,SL,192
설레,VV,192
이거,NP,191
hey,SL,191
hot,SL,191
전하,VV,191
never,SL,190
곱,VA,190
으려,EC,189
아니,IC,189
짧,VA,189
어둡,VA,189
님,XSN,189
차라리,MAG,188
일,NR,188
거울,NNG,187
밖,NNG,186
생각나,VV,186
나누,VV,186
불,NNG,185
ooh,SL,185
이란,JX,184
예,IC,183
운명,NNG,183
고개,NNG,182
흘러가,VV,181
딱,MAG,180
아이,NNG,180
용서,NNG,180
감싸,VV,180
대답,NNG,179
이루,VV,179
어쩌면,MAG,178
다음,NNG,178
눈부시,VA,178
차,VV,178
으니까,EC,177
기쁨,NNG,177
why,SL,177
out,SL,176
가을,NNG,175
간직,NNG,175
어제,NNG,175
어깨,NNG,175
not,SL,175
점점,MAG,174
발,NNG,174
걸음,NNG,173
미래,NNG,173
밝,VA,173
기도,NNG,172
na,SL,172
붙잡,VV,172
나가,VV,172
음,IC,171
때로,MAG,171
푸르,VA,171
미워하,VV,171
을까,EF,170
듯이,NNB,170
고백,NNG,170
yo,SL,170
그리,MAG,169
get,SL,169
about,SL,168
기대,VV,168
따뜻,XR,167
리라,EC,166
do,SL,166
만드,VV,166
요,EC,165
빨리,MAG,165
문,NNG,165
예전,NNG,165
lonely,SL,165
잃어버리,VV,165
듯이,EC,164
막,VV,164
소,EC,163
at,SL,163
ma,SL,163
돌아보,VV,162
아끼,VV,162
예요,EF,161
벌써,MAG,161
계절,NNG,161
똑같,VA,161
터지,VV,161
바꾸,VV,161
마시,VV,160
가져가,VV,160
어야지,EC,159
아냐,IC,159
거기,NP,159
달래,VV,159
파,VV,159
러,EC,158
여,JKV,158
니,NNG,158
꿈꾸,VV,158
