word,type,count,language
잘,VerbPrefix,297,kr
요,Noun,296,kr
give,Eng,293,en
전부,Noun,292,kr
날다,Verb,291,kr
새,Noun,289,kr
사이,Noun,289,kr
boom,Eng,288,en
늦다,Verb,288,kr
소중하다,Adjective,287,kr
hot,Eng,287,en
이,Suffix,287,kr
바다,Noun,286,kr
그대로,Noun,286,kr
느낌,Noun,284,kr
자신,Noun,283,kr
이여,Josa,281,kr
달콤하다,Adjective,279,kr
집,Noun,279,kr
잠시,Noun,279,kr
빛나다,Verb,278,kr
good,Eng,277,en
크다,Verb,277,kr
남아,Noun,275,kr
죠,Josa,274,kr
가지,Noun,272,kr
어둠,Noun,272,kr
먹다,Verb,272,kr
기분,Noun,271,kr
흔들다,Verb,271,kr
그만,Adverb,268,kr
감다,Verb,268,kr
님,Noun,267,kr
품,Noun,267,kr
쯤,Suffix,266,kr
but,Eng,265,en
자꾸만,Noun,265,kr
dance,Eng,263,en
라면,Noun,263,kr
젖다,Verb,263,kr
안되다,Adjective,262,kr
heart,Eng,262,en
만이,Josa,262,kr
편하다,Adjective,261,kr
인걸,Josa,261,kr
미련,Noun,261,kr
오직,Noun,261,kr
만큼,Noun,261,kr
필요하다,Adjective,260,kr
맞다,Verb,260,kr
stop,Eng,259,en
dumb,Eng,259,en
에겐,Josa,258,kr
down,Eng,257,en
설레다,Adjective,256,kr
어느,Adverb,256,kr
건지다,Verb,256,kr
아무리,Adverb,255,kr
ya,Eng,255,en
bad,Eng,255,en
남기다,Verb,254,kr
night,Eng,253,en
why,Eng,253,en
자리,Noun,253,kr
아래,Noun,252,kr
이라도,Josa,250,kr
인지,Josa,250,kr
일,Modifier,249,kr
잠들다,Verb,248,kr
앉다,Verb,248,kr
끄다,Verb,248,kr
술,Noun,247,kr
향기,Noun,246,kr
우우,Adverb,244,kr
든,Josa,243,kr
적,Noun,242,kr
꾸다,Verb,242,kr
애쓰다,Verb,241,kr
of,Eng,240,en
지만,Josa,240,kr
아무렇다,Adjective,239,kr
후,Noun,239,kr
담다,Verb,239,kr
이르다,Verb,239,kr
찾아오다,Verb,239,kr
yo,Eng,237,en
도,Noun,237,kr
외로움,Noun,236,kr
계속,Noun,236,kr
치다,Verb,236,kr
never,Eng,235,en
머물다,Verb,235,kr
랑,Josa,234,kr
어제,Noun,234,kr
가득,Noun,234,kr
맞추다,Verb,234,kr
추다,Verb,234,kr
햇살,Noun,233,kr
다,Josa,232,kr
인가,Josa,232,kr
구름,Noun,232,kr
심장,Noun,231,kr
day,Eng,230,en
네,Josa,230,kr
울,Modifier,230,kr
씩,Suffix,230,kr
견디다,Verb,230,kr
gonna,Eng,229,en
남,Noun,229,kr
생각나다,Verb,229,kr
랄랄라,Adverb,228,kr
na,Eng,228,en
이라,Josa,228,kr
먼저,Noun,228,kr
봄,Noun,227,kr
달,Noun,227,kr
